Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
"Centro di solidarietà Onlus ""Il Ponte""",42.079288482666,11.8156614303589,"Via Veneto, 30",Civitavecchia,Pubblici
"Uffici Comunali - Urbanistica",42.0921784537063,11.8020634651184,"Parco della Resistenza",Civitavecchia,Pubblici
"Ufficio Operatori",42.079216003418,11.8157625198364,"Via Veneto, 30",Civitavecchia,Pubblici
Comune,42.2551345825195,12.5975399017334,"Via Oreste Leonardi, 5",Filacciano,Pubblici
"Jolly Lido",41.5050392150879,12.5792779922485,"lungomare celeste 3",Anzio,Privati
"Istituto ""Giorgio Ambrosoli""",41.8820915222168,12.5609741210938,"Viale della Primavera, 207",Roma,Pubblici
"Istituto ""De Chirico""",41.8575706481934,12.5725841522217,"Via Contardo Ferrini, 61",Roma,Pubblici
"Istituto ""Jean Piaget""",41.8607330322266,12.5654973983765,"Viale M. F. Nobiliore, 79A",Roma,Pubblici
"Istituto ""J. Von Neumann""",41.9452972412109,12.5783138275146,"Via Pollenza, 115",Roma,Pubblici
"Istituto ""Tito Lucrezio Caro""",41.932056427002,12.4771041870117,"Via Venezuela, 30",Roma,Pubblici
"Istituto ""Renato Cartesio""",41.933162689209,12.4140396118164,"Via Cesare Lombroso, 120",Roma,Pubblici
"Istituto ""Sisto V"",""Via Sarandì 11""",41.9475364685059,12.5422039031982,"Via della cecchina, 20",Roma,Pubblici
"Istituto ""Via di Ripetta""",41.9069709777832,12.4757604598999,"VIA RIPETTA 218",Roma,Pubblici
"Istituto ""Francesco D'assisi"" (succursale)",41.8918190002441,12.5729646682739,"Via Castore Durante 11",Roma,Pubblici
"Biblioteca Comunale Pasolini",41.8019218444824,12.6003370285034,"via 4 novembre 90",Ciampino,Pubblici
"Istituto ""Pacinotti""",41.9492721557617,12.5151700973511,"Via Montaione, 15",Roma,Pubblici
"Palazzo Borghese",41.8164024353027,12.7159481048584,"piazza borgese","Monte Porzio Catone",Pubblici
Comune,42.087474822998,11.7981300354004,"Piazza Pietro Guglielmotti, 7",Civitavecchia,Pubblici
"Paglia Caffè",41.8427658081055,12.6115884780884,"Largo A. Berardi,22",Roma,Privati
"Istituto ""Biagio Pascal""",41.9949684143066,12.4872846603394,"Via Brembio, 97",Roma,Pubblici
"Bar tavola calda Tortora",41.920280456543,12.4941549301147,"Via Guido D'Arezzo, 35",Roma,Privati
"Centro Per l'Impiego",41.8676071166992,12.6257610321045,"via iacopo torriti 7",Roma,Pubblici
Comune,42.2043190002441,12.3998222351074,"Piazza Giovanni XXIII, 8","Mazzano Romano",Pubblici
Comune,41.9763031005859,12.8680534362793,"Corso cavour 34","Castel Madama",Pubblici
Comune,41.9758186340332,12.8680477142334,"Corso cavour 17","Castel Madama",Pubblici
"Istituto ""Giuseppe Armellini""",41.8560485839844,12.4764003753662,"Largo Beato Placido Riccardi, 13",Roma,Pubblici
"Istituto ""Federico Cesi""",41.9480438232422,12.5298271179199,"Via Sarandì, 11",Roma,Pubblici
"Centro Anziani Villanova",41.9632992,12.7518788,"Via Cavour, 42","Guidonia Montecelio",Pubblici
Comune,42.1598587036133,12.4365701675415,"piazza risorgimento 1","Magliano Romano",Pubblici
"Complesso Ospedaliero San Giovanni",41.8863143920898,12.5020666122437,"via dell'amba aradam ",Roma,Pubblici
"Centro Convegni",42.1105565,12.8336512,"Via della Pineta,1",Monteflavio,Pubblici
"ITC “Via 2 Giugno di Fonte Nuova”",41.9984169006348,12.6176652908325,"Via Due Giugno, Snc","Fonte Nuova",Pubblici
"Istituto ""Pertini""",41.7019844055176,12.684868812561,"Via Napoli 3","Genzano di Roma",Pubblici
"C.S.A Decima Torrino",41.8202209472656,12.4424209594727,"via Roberto Lordi 7",Roma,Pubblici
"Centro Tutela Familiare",41.8968162536621,12.5166263580322,"Via dei Sardi, 60",Roma,Pubblici
"Biblioteca di storia moderna e contemporanea ",41.8944511413574,12.4784603118896,"via Caetani 32",Roma,Pubblici
"VIGAMUS - Museo del Videogames",41.9169120788574,12.4592924118042,"Via Sabotino, 4",Roma,Pubblici
