Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
"Istituto ""Aristofane"" (Succursale)",41.948844909668,12.5314931869507,"Via delle Isole Curzolane, 73",Roma,Pubblici
"Circolo Empire - Reception",41.8804740905762,12.4011764526367,"Via Degli Aldobrandeschi 115",Roma,Pubblici
Municipio,41.6497268676758,13.039529800415,"Piazza Vittorio Emanuele II",Montelanico,Pubblici
"Circolo Empire - Sala Ristorazione",41.8803329467773,12.401141166687,"Via Degli Aldobrandeschi 115",Roma,Pubblici
"Scuola di Formazione e Aggiornamento Personale Amministrazione Penitenziaria ""Giovanni Falcone"" ",41.8825988769531,12.382664680481,"Via di Brava 99",Roma,Pubblici
"Scuola di Formazione e Aggiornamento Personale Amministrazione Penitenziaria ""Giovanni Falcone"" ",41.8827285766602,12.3826284408569,"Via di Brava 99",Roma,Pubblici
"I.S. Leopoldo Pirelli",41.8689422607422,12.534478187561,"Via Rocca di Papa, 113",Roma,Pubblici
"Scuola di Formazione e Aggiornamento Personale Amministrazione Penitenziaria ""Giovanni Falcone"" ",41.8827438354492,12.382791519165,"Via di Brava 99",Roma,Pubblici
"Circolo MAE",41.9345207214355,12.4794721603394,"Lungotevere dell'acqua acetosa, 42","Roma ",Pubblici
"Bar La Terrazza",41.8865280151367,12.9743680953979,"Via Giovanni XXIII, 62","San Vito Romano",Privati
"Centro Anziani",41.807975769043,12.6812963485718,"Via Giacomo Matteotti, 59",Frascati,Pubblici
"Scuola di Formazione e Aggiornamento Personale Amministrazione Penitenziaria ""Giovanni Falcone"" ",41.8825187683105,12.3826055526733,"Via di Brava 99",Roma,Pubblici
"Parrocchia Santa Lucia",41.9774901446251,12.6501170158691,"Via Lombardia, 13","Fonte Nuova",Pubblici
"Comune - Sala Consiliare",41.6864128112793,12.7772283554077,"Piazza Cesare Augusto, 1","Velletri ",Pubblici
"S.S Lazio Baseball",41.8549690246582,12.4843101501465,"via della villa di lucina 12",Roma,Privati
Comune,41.9883346557617,13.0682611465454,"Piazza Umberto I","Cervara di Roma",Pubblici
"Policlinico Umberto I - Padiglione 3",41.9074821472168,12.5112714767456,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Dermatologia",41.9049377441406,12.5116262435913,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - II° Chirurgia",41.9073867797852,12.510139465332,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Giardini Padiglione 4",41.9066314697266,12.5115766525269,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Padiglione 6/7",41.905704498291,12.5121374130249,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Dea",41.9067535400391,12.5103187561035,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Centro Trasfusionale",41.9062232971191,12.5140924453735,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Giardini Archivio Clinico",41.906364440918,12.5106592178345,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Clinica Ostetrica",41.9081840515137,12.5116472244263,"Viale del policlinico, 155",Roma,Pubblici
Municipio,42.2099189758301,12.4810123443604,"Piazza IV Novembre 1","Rignano Flaminio",Pubblici
"Policlinico Umberto I - Scienze Chirurgiche",41.9067802429199,12.5127811431885,"Viale del policlinico, 155",Roma,Pubblici
"Policlinico Umberto I - Fungo",41.9068756103516,12.5127325057983,"Viale del policlinico, 155",Roma,Pubblici
"Circolo Canottieri Aniene ",41.9318428039551,12.4842052459717,"Lungotevere dell'acqua acetosa, 119",Roma,Pubblici
"Clinica Mancini",41.8505286,13.1734547999999,"Via Giorgio Icilio Mancini, 12","Arcinazzo Romano",Privati
"Centro per l'Impiego ",41.8379325866699,12.8908109664917,"Via degli Arcioni 15",Palestrina,Pubblici
"Centro Formazione Professionale Adriatico",41.9427299499512,12.5377025604248,"Via Monti Lessini 6",Roma,Pubblici
"Centro per l'impiego",41.675651550293,12.500509262085,"Via Pontina Vecchia 13",Pomezia,Pubblici
"Centro per l'Impiego",41.4495315551758,12.6196422576904,"Via Lussemburgo snc",Anzio,Pubblici
"Centro per l'impiego",41.9344787597656,12.5863056182861,"Via Scorticabove 77",Roma,Pubblici
"Centro per l'impiego",41.9344062805176,12.5864963531494,"Via Scorticabove 77",Roma,Pubblici
"Centro per l'Impiego",41.6870422363281,12.778697013855,"Corso della Repubblica 241",Velletri,Pubblici
"Istituto Alberghiero Y. De Begnac",41.9601417610524,12.0708261200989,"Via Federici",Ladispoli,Pubblici
"Palazzo Valentini",41.8963383135941,12.4840394722137,"Via IV Novembre",Roma,Pubblici
Municipio,42.0341709804977,12.7130345742397,"Piazza Santa Liberata","Sant'Angelo Romano",Pubblici
"Fondazione Santa Lucia - Ufficio Network",41.8410039783045,12.5153583386231,"Via Ardeatina, 306",Roma,Pubblici
"Centro Anziani Parco Schuster",41.8622665405273,12.477855682373,"Via Ostiense, 182",Roma,Pubblici
"Biblioteca Casanatense",41.8988241016321,12.4793764424962,"Via di Sant Ignazio, 52",Roma,Pubblici
"Bar La Baita",41.9238548278809,12.4468793869019,"Piazzale delle Medaglie d'Oro 29",Roma,Pubblici
"Policlinico Umberto I - 1° Clinica Medica",41.905101776123,12.510817527771,"Viale del policlinico, 155",Roma,Pubblici
"Associazione Sportiva Alma Nuoto",41.863410949707,12.5550670623779,"viale dei consoli, 24",Roma,Privati
"Istituto PIER LUIGI NERVI",41.6848754882812,13.0236377716064,"via Scroccarocco, 20",Segni,Pubblici
"Parco regionale Appia Antica",41.8683127747897,12.502489855156,"Via Appia Antica, 42",Roma,Pubblici
"Istituto ""Caravaggio""",41.8562850952148,12.5005855560303,"Via Odescalchi,75",Roma,Pubblici
"Istituto ""Michelangelo Buonarroti""",41.8103256225586,12.684814453125,"Via Angelo Celli, 1",Frascati,Pubblici
"Istituto ""Pier Luigi Nervi""",42.208610534668,12.4724645614624,"Via Falisca","Rignano Flaminio",Pubblici
"Istituto ""Via Campagnanese,3""",42.1489295959473,12.5030784606934,"Via Campagnanese, 3",Morlupo,Pubblici
"Biblioteca Comunale",41.7407042096454,12.9121830362458,"Via Fleming",Artena,Pubblici
"Centro Sociale",41.933666229248,12.9933471679688,"Piazza dell'Annunziata, 2",Gerano,Pubblici
"Bar ""Caffetteria 2040""",42.0343060702179,12.3776353093315,"Via Cassia, 2040",Roma,Privati
"Caffè Fleming",41.9465026855469,12.4735107421875,"Via Flaminia 677",Roma,Privati
"Biblioteca Comunale",42.0337448120117,12.6379957199097,"Via Crescenzio, 1",Mentana,Pubblici
"Istituto ""Enriques""(succursale)",41.7863998413086,12.3534555435181,"Via Andrea da Garessio, 109",Roma,Pubblici
"Ufficio Anagrafe",41.7070541381836,12.6901407241821,"Via Italo Belardi, 81","Genzano di Roma",Pubblici
"Istituto superiore per la conservazione ed il restauro",41.8838996887207,12.4747018814087,"Via di San Michele, 23",Roma,Pubblici
"Centro di Accoglienza Casa Benvenuto",41.880298614502,12.5737209320068,"Via del fosso di centocelle, 66",Roma,Privati
"Punto Informazioni Turistiche",42.155948638916,12.2458057403564,"Piazza Vittorio Emanuele III","Trevignano Romano",Pubblici
"Comando Polizia Municipale",42.0417785644531,13.0166578292847,"Via Cesare Battisti, 6",Arsoli,Pubblici
"Biblioteca Comunale",42.0260810852051,12.9946851730347,"Piazza Repubblica, 4",Roviano,Pubblici
"Centro Sportivo Time Out",42.073860168457,12.3734798431396,"Via Cassia, km 24,300",Formello,Privati
"Studio dentistico",41.6492042541504,12.6567611694336,"Via Nettunense, 32",Lanuvio,Privati
"Biblioteca Comunale",41.7959221762838,12.66934633255,"Viale Giovanni Dusmet, 20",Grottaferrata,Pubblici
"Scuola Primaria",41.9337219,12.9934362,"Piazza della Repubblica",Gerano,Pubblici
"Centro per l'impiego",42.0922470092773,11.8066663742065,"Via Lepanto, 13",Civitavecchia,Pubblici
"Centro Anziani Granai di Nerva",41.8354263305664,12.5026941299438,"Via Tazio Nuvolari, 250",Roma,Pubblici
Municipio,42.0414390563965,13.0163660049438,"Piazza Martiri Antifascisti, 1",Arsoli,Pubblici
Municipio,42.0860977172852,12.9954500198364,"Via San Rocco,22",Vallinfreda,Pubblici
"Scuola Materna Comunale",41.6767044067383,12.7007255554199,"Piazza Carlo Fontana",Lanuvio,Pubblici
"Punto Informazioni Turistiche",41.7189598083496,12.7155723571777,"Piazza Roma",Nemi,Pubblici
"Centro Sociale Anziani",42.16845703125,12.585711479187,"Via penna calda","Fiano Romano",Pubblici
"Bar Il Veliero",41.8442649841309,12.5487213134766,"Via Annia Regilla, 133",Roma,Privati
"Ristorante Settembrini Vino&Cucina",41.9151153564453,12.4659109115601,"Via Luigi Settembrini, 25",Roma,Privati
Comune,41.9871597290039,12.9383163452148,"Via Alberto Theodoli, 1",Sambuci,Pubblici
"Bar Giolitti",41.8726997375488,12.5293197631836,"Largo orazi e curiazi, 23",Roma,Privati
Municipio,41.9997291564941,12.7256851196289,"Piazza Matteotti","Guidonia Montecelio",
Municipio,42.2368202209473,12.6153764724731,"Largo 16 Marzo 1978, 9","Torrita Tiberina",
"Punto Informazioni Turistiche",42.0630222,12.770767,"Via Rieti,1","Palombara Sabina",
"Villa dei Quintili ",41.8295135498047,12.5562257766724,"Via Appia, 290",Roma,
"Teatro Comunale",42.2359133,12.5177154,"Piazza Dei Cavalieri Caccia, 7",Sant'Oreste,
"C.S.I. Roma Flaminio",41.9240417480469,12.4638557434082,"Lungotevere Flaminio, 59",Roma,Privati
"Circolo Sportivo Belle Arti",41.9181785583496,12.4740171432495,"Via Flaminia, 158",Roma,Privati
"Forno Dei Desideri",41.9157371520996,12.4667768478394,"Via Avezzana, 35",Roma,Privati
"Centrovini Arcioni",41.9110412597656,12.4546184539795,"Via della Giuliana, 11",Roma,Privati
"Gay Center",41.877857208252,12.4754915237427,"Via Nicola Zabaglia, 14",Roma,Privati
"Istituto superiore per la conservazione ed il restauro",41.8841857910156,12.4750823974609,"Via di San Michele, 23",Roma,Pubblici
"Istituto superiore per la conservazione ed il restauro",41.8839721679688,12.4746627807617,"Via di San Michele, 23",Roma,Pubblici
"Istituto superiore per la conservazione ed il restauro",41.8845596313477,12.4750537872314,"Via di San Michele, 23",Roma,Pubblici
"Circolo Sportivo Aquaniene",41.932487487793,12.4923992156982,"Viale della Moschea",Roma,Pubblici
"Marinari Caffè",41.9294891357422,12.5168046951294,"Viale Libia 10",Roma,Privati
"Fondazione Santa Lucia -Sala Congressi",41.84130859375,12.514741897583,"via Ardeatina 306",Roma,Pubblici
"Fondazione Santa Lucia - Centro Congressi",41.8411254882812,12.5140552520752,"Via Ardeatina 306",Roma,Pubblici
"Fondazione Santa Lucia - Scuole Universitarie",41.8417701721191,12.5155458450317,"Via Ardeatina 306","Roma ",Pubblici
"Ditta F.lli Colaiacomo",41.6534324177386,13.0398598105896,"Viale Roma",Montelanico,
"Biblioteca di Villa Pamphili",41.8791742877692,12.4562441079346,"Via di Villa Pamphili, 71 ",Roma,
"Complesso sportivo comunale Isola Verde",41.6547773,13.0422273,"Viale dello Sport",Montelanico,
"Riserva Naturale di Nomentum",42.0191042775864,12.6393783963867,"Riserva naturale di nomentum",Roma,
"Palazzo Valentini",41.8961127737671,12.4843160497376,"Via Quattro Novembre, 119 ",Roma,Pubblici
"Fondazione Santa Lucia - Sala aspetto Poliambulatorio",41.8405876159668,12.5162115097046,"Via Ardeatina 306 ",Roma,Pubblici
"Fondazione Santa Lucia - Sala aspetto Poliambulatorio",41.8421058654785,12.5147953033447,"Via Ardeatina 306 ",Roma,Pubblici
"Fondazione Santa Lucia - Sala aspetto Diagnostica per Immagini",41.8412590026855,12.5151386260986,"Via Ardeatina 306 ",Roma,Pubblici
"Villa Altieri",41.8910746577221,12.5073586225761,"Viale Manzoni, 47",Roma,
"Città Metropolitana di Roma Capitale",41.8173269875678,12.4565991846557,"Viale Giorgio Ribotta 41",Roma,Pubblici
"Villa Altieri",41.8909378051758,12.5071306228638,"Viale Manzoni 47 ",Roma,
"Villa Altieri",41.8910064697266,12.5069217681885,"Viale Manzoni 47 ",Roma,
"Villa Altieri",41.8911459633368,12.5080876496681,"Viale Manzoni, 47 ",Roma,
"Biblioteca Comunale",41.834846496582,12.9740314483643,"Piazza San Nicola, 1",Genazzano,Pubblici
Municipio,41.8332939147949,12.9727840423584,"Piazza Santa Maria, 4",Genazzano,Pubblici
"Casa Famiglia",41.6207542419434,12.4634895324707,"Piazza Ungheria",Pomezia,Privati
Municipio,41.994514465332,13.0162353515625,"Piazza del Municipio, 1","Marano Equo",Pubblici
"Istituto ""Margherita di Savoia""",41.8811184402224,12.5108090403367,"Via cerveteri, 55",Roma,Pubblici
"Protezione Civile",41.9446182250977,12.9834365844727,"Via XXIV Maggio, 2","Cerreto Laziale",Pubblici
"Comando Polizia Municipale",41.788406939703,12.6680433750153,"Via Giuseppe Garibaldi, 20",Grottaferrata,Pubblici
"Istituto Rossellini",41.8565559387207,12.4689931869507,"Via della Vasca Navale, 58",Roma,Pubblici
Comune,42.1003150939941,13.0068235397339,"Via Mastro Lavinio, 5","Vivaro Romano",Pubblici
"Mercato Rionale Casilino23",41.8818092346191,12.5566091537476,"Via Ferraironi",Roma,
Belvedere,41.8339309692383,12.7518720626831,"Via Roma",Colonna,Pubblici
"Mercato Rionale Casilino23",41.8822937011719,12.5565843582153,"Via Ferraironi",Roma,
Carabinieri,41.8342056274414,12.7517337799072,"Via dei monti, 2",Colonna,Pubblici
"Wellness Town",41.8528467734128,12.5009071276127,"Via Francesco Giangiacomo, 55 ",Roma,Privati
"IFO Istituti Fisioterapici Ospitalieri",41.8028259277344,12.4510278701782,"Via Elio Chianesi 53",Roma,Pubblici
"Istituto ""Vito Volterra"" ",41.7898788452148,12.6223773956299," Via dell'acqua Acetosa, 8A",Ciampino,Pubblici
"Centro Anziani",41.8329658508301,12.7543849945068,"Piazzale Francesco Colagrossi",Colonna,Pubblici
"IFO Istituti Fisioterapici Ospitalieri",41.8022270202637,12.4502553939819,"Via Elio Chianesi 53",Roma,Pubblici
"IFO Istituti Fisioterapici Ospitalieri",41.8024253845215,12.4507703781128,"Via Elio Chianesi 53",Roma,Pubblici
"IFO Istituti Fisioterapici Ospitalieri",41.8022918701172,12.45139503479,"Via Elio Chianesi 53",Roma,Pubblici
"Club Nautico l'Approdo",41.4846725463867,12.5931234359741,"Via dei lillà",Anzio,Privati
"Sede Municipio Roma 11",41.854190826416,12.4951057434082,"via dei Lincei 93",Roma,Pubblici
"Laziodisu Roma 3",41.7944677676119,12.455583691597,"Via Valleranello, 99",Roma,
"Laziodisu Roma Tre",41.794579018628,12.4660679417725,"Via Valleranello, 99",Roma,
"Sede Municipio",41.7928466796875,12.4042139053345," Via Gemmano Vitinia",Roma,
"Mercato Laurentino",41.8105392456055,12.484001159668,"via Francesco Sapori",Roma,
"Uffici Comune Lungomare Lutazio Catulo 3, 5- ",41.7164555,12.3122859,"Lungomare Lutezio Catulo, 5",Roma,Pubblici
"Scuola Paolo Stefanelli",41.9358749389648,12.4260549545288,"via Enrico Pestalozzi, 5",Roma,
"Scuola Paolo Stefanelli",41.9358100891113,12.4261913299561,"via Enrico Pestalozzi, 5",Roma,Pubblici
"Scuola Paolo Stefanelli",41.9396284,12.4285549,"Via Giuseppe Taverna, 97",Roma,
"Centro Anziani Parco S.Onofrio",41.9349734,12.4360552000001,"Via Luigi Morandi, 11",Roma,Pubblici
"Traiano Residence",41.8527208487526,13.1726101636887,"Via Monte Altuino, 1","Arcinazzo Romano",Privati
Comune,41.9859390258789,12.9370269775391,"Via Roma, 49",Ciciliano,Pubblici
"Sede centrale Municipio XV",41.848988817771,12.4521046730164,"Via Camillo Montalcini, 1",Roma,
"Sede Centrale Municipio XV",41.8489069,12.4520403,"Via Camillo Montalcini, 1",Roma,
"Consulta Municipale dell'Handicap",41.8465617,12.4601133,"Viale Vicopisano, 95",Roma,
"Scuola Bellingeri",41.9351553,12.4177222000001,"Via Andrea Verga, 2",Roma,
"Museo della Mente, Pad. 6",41.9409790039062,12.4191379547119,"Piazza Santa Maria della Pietà",Roma,
"Terme Domiziane",41.7288513183594,12.662672996521,"Via Legione Partica, 13","Albano Laziale",Privati
"Mercato Comunale Santa Silvia",41.8553619384766,12.4504127502441,"Piazza Lorenzini",Roma,
"Scuola Media Collodi",41.8419095,12.4375979,"via Massa Marittima, 1",Roma,
"Scuola Media Collodi",41.8419109986606,12.4375972294478,"via Massa Marittima, 1",Roma,
"Cooperativa Sociale ""Progetto 96""",41.8529119,12.4255135,"via degli Adimari, 29",Roma,
"Banca del Tempo, INCIS-Pisana",41.8687596,12.4100797,"via Longhena, 98",Roma,
"Sede Municipio XVII",41.9180450439453,12.4581212997437,"Circonvallazione Trionfale, 19",Roma,Pubblici
"Pizzeria Piazza Roma",41.818473815918,12.4888639450073,"Via Marino Ghetaldi, 36",Roma,Privati
"Sede Municipio XVII",41.9120635986328,12.4501419067383,"Circonvallazione Trionfale, 19",Roma,
"Centro Anziani ""Borgo Pio""",41.9038543701172,12.4594564437866,"Borgo Pio, 23",Roma,
Municipio,42.1720771789551,12.5926828384399,"Piazza Giacomo Matteotti","Fiano Romano",Pubblici
"Giardini di Montezebio - Bar Vanni",41.9174919128418,12.4642171859741," via Col di Lana,10",Roma,
"Giardini Montezebio - Bar Vanni",41.9173927307129,12.464243888855,"Via Col di Lana, 10",Roma,
"Centro Anziani ""Pineta Sacchetti""",41.8823863,12.4542456,"via Innocenzo IV, 6",Roma,Pubblici
"Scuola G. Tomassetti",42.0078396,12.3796150000001,"Via Cassia, 1690",Roma,Pubblici
"Scuola G. Tomassetti ",42.0078346174394,12.3796210349703,"Via Cassia, 1690",Roma,Pubblici
"Istituto ""Anco Marzio""",41.7385292053223,12.28795337677,"via capo palinuro 72",Roma,
Comune,41.6559590925797,13.1106803091926,"Piazza Giuseppe Mazzini, 5 ",Gorga,Pubblici
"Tribunale Ordinario Settore Civile Edificio E",41.9122619628906,12.4657430648804," via Lepanto 4",Roma,
"Ingresso Piano Terra",41.905116,12.4867882999999,"piazza Beniamino Gigli, 7",Roma,
Foyer,41.9050140380859,12.4868183135986,"piazza Beniamino Gigli, 7",Roma,
"Sala Gialla",41.9049797058105,12.4867210388184,"piazza Beniamino Gigli, 7",Roma,
"Sala Grigia",41.9051742553711,12.4865350723267,"piazza Beniamino Gigli, 7",Roma,
"Portico Esterno",41.9049873352051,12.4866275787354,"piazza Beniamino Gigli, 7",Roma,
"Scuola Calcio Sabazia Calcio",42.0683708190918,12.2954816818237,"Via Della Mainella 3","Anguillara Sabazia",
"Villa Capo di Bove",41.836181640625,12.5384826660156,"via appia antica, 222",Roma,
"Villa Capo di Bove",41.8305892944336,12.5460586547852,"via appia antica, 222",Roma,
"Tribunale Ordinario Settore Civile Edificio E",41.912169,12.465674017791,"via Lepanto, 4",Roma,
"Bar Ricci",41.9578742980957,12.7978191375732,"Via Tiburto, 42",Tivoli,Privati
"Parco Villa Gregoriana",41.9666720658814,12.8007432490738,"Piazza del Tempio di Vesta",Tivoli,Pubblici
"Tribunale Ordinario settore civile, Edificio E",41.9121932983398,12.4657144546509,"via Lepanto 4",Roma,
"Tribunale Ordinario settore civile, Edificio D",41.9098434448242,12.460654258728,"via Giulio Cesare, 54b",Roma,
"Facoltà di Giurisprudenza",41.867301940918,12.479097366333,"Via Ostiense,159",Roma,
Biblioteca,41.8639144897461,12.4789199829102,"Via Ostiense 139 ",Roma,
"Piazza Telematica",41.8652496337891,12.4791421890259,"Via Ostiense 133",Roma,
"Teatro Palladium",41.8625602722168,12.4854249954224,"Piazza Bartolomeo Romano ",Roma,
"Facoltà di Ingegneria",41.8556785583496,12.4674091339111,"Via della Vasca Navale 81",Roma,
"Facoltà di Ingegneria",41.8544235229492,12.4674520492554,"Via della Vasca Navale 109",Roma,
"Le Torri-Container",41.8542976379395,12.4655809402466,"L.go San Leonardo Murialdo 1",Roma,
"Facoltà di Scienze Politiche",41.8521041870117,12.4788103103638,"Via Chiabrera 199",Roma,
"Facoltà di Scienze Politiche ",41.8509063720703,12.4801769256592,"Via Silvio D'Amico 77 ",Roma,
"Facoltà di Architettura",41.8763122558594,12.4725847244263,"Piazza Orazio Giustiniani ",Roma,
"Biblioteca Francese",41.8931617736816,12.4797782897949,"Piazza Campitelli 3",Roma,
"Facoltà di Architettura",41.8945579528809,12.4904079437256,"Via Madonna dei Monti 40 ",Roma,
"Casa Internazionale delle Donne",41.8939056396484,12.4665107727051,"Via della Lungara, 19",Roma,Pubblici
"Tribunale Ordinario settore civile, Edificio D",41.9118118286133,12.4668636322021,"via Giulio Cesare, 54b",Roma,
"Tribunale Ordinario settore civile, Edificio D",41.9116973876953,12.4669494628906,"via Giulio Cesare 54b",Roma,
"Corte D'Appello - Piano rialzato",41.9175338745117,12.4505834579468,"via Romei",Roma,
"Corte D'Appello - Piano rialzato",41.9175453186035,12.450403213501,"via Romei",Roma,
"Corte D'Appello - Piano rialzato",41.9175643920898,12.4504051208496,"via Romei",Roma,
"Centro per l'impiego Frascati",41.809253692627,12.6792097091675,"Piazzale Aldo Moro",Frascati,Pubblici
Procura,41.9165650051486,12.4521293116568,"via Golametto, 12",Roma,
Procura,41.9165655041189,12.4521293116568,"via Golametto, 12",Roma,
Municipio,41.8700218200684,12.8229827880859,"Piazzale Case Popolari","Gallicano nel Lazio",Pubblici
Municipio,41.8697776794434,12.8229961395264,"Via Tre Novembre, 7","Gallicano nel Lazio",Pubblici
Comune,41.7702751159668,12.6591415405273,"Piazza santa Barnaba",Marino,Pubblici
"Cantina Fabi",41.7707443237305,12.6543569564819,"Piazza Giuseppe Garibaldi, 18",Marino,Privati
"Centro servizi per il Lavoro La Cacciarella",41.9078254699707,12.5460901260376,"via Casal Bruciato, 11",Roma,Pubblici
"Polisportiva Bettini",41.8566131591797,12.5766286849976,"via Quinto Publicio, 39",Roma,
"Parco Uliveto - Pizzeria ""Le Terme""",42.0870752,11.8067115,"Via Rodolfo Morandi",Civitavecchia,Privati
"Parco Uliveto - Pizzeria ""Le Terme""",42.0869159566094,11.8075778535118,"Via Rodolfo Morandi",Civitavecchia,Privati
"Uffici Regione -centro ephebeum-",41.8160591125488,12.7151536941528,"Via Cavour, 6","Monte Porzio Catone",Pubblici
"
Associazione culturale Casale Garibaldi",41.8806925,12.5546355,"via Romolo Balzani, 87",Roma,Pubblici
Castello,41.9204750061035,12.8743762969971,"Piazza Brancaccio","San Gregorio da Sassola",Pubblici
"British School",41.7309641866012,12.2789257595246,"via delle Stazione vecchia, 11",Roma,
"Parco Piazza Cesare De Cupis 20, Tor Sapienza, Scuola primaria ""G. Gesmundo""",41.904208,12.5897772000001,"Piazza Cesare De Cupis, 20",Roma,Pubblici
"Antico Caffè Castellino (p.zza Venezia)",41.8968859,12.4829778000001,"via Cesare Battisti, 135",Roma,
"Parco Atleti azzurri d'Italia 2, presso Scuola Petrassi",41.9441781,12.4599461,"via della Maratona, 35",Roma,
"Giardino Pubblico ex Ferrovie",41.8719536,12.4826455,"Via Pellegrino Matteucci, 51",Roma,Pubblici
"Asilo Nido",41.8975533,12.5164361,"Via dei Sabelli, 88",Roma,
"Scuola Quartararo - Via Portuense, 1491/93",41.8171209,12.3428233,"Via Portuense, 1491",Roma,
"Wellness Club",41.9378051757812,12.5543203353882,"Viale Rousseau 124",Roma,Privati
"Bar Del Parco",41.7895965576172,12.4474382400513,"Via Giovanni Frignani",Roma,Privati
"Scuola popolare di Musica Donna Olimpia",41.8766341,12.4536256,"Via Donna Olimpia, 30",Roma,
"Biblioteca Cornelia",41.908992767334,12.3972120285034,"Via Cornelia, 45",Roma,
"Istituto Comprensivo Borgoncini Duca",41.8946304321289,12.4495220184326,"Via San Silverio",Roma,
"Biblioteca Borghesiana",41.861026763916,12.6707038879395,"Largo Monreale",Roma,
"Scuola Media Gianicolo",41.8788108825684,12.4602651596069,"Largo Oriani",Roma,
"Biblioteca Comunale Rugantino",41.8654897,12.5782432,"Via Rugantino, 113",Roma,
"Scuola Bernardino Mastroianni",41.9171371459961,12.3533897399902,"Via Ponzone, 23",Roma,Pubblici
"Collina della Pace - Asilo nido Collina Verde",41.8641738891602,12.6859159469604,"Via Capaci, 36",Roma,
"Parrocchia di N.S. Czestochowa",41.9138016568972,12.61036825159,"Largo Augusto Corelli, 9",Roma,Pubblici
"Centro Islamico culturale d'Italia",41.935474395752,12.496129989624,"Viale della Moschea, 85",Roma,
"Centro Islamico culturale d'Italia",41.9354133605957,12.4961624145508,"Viale della Moschea, 85",Roma,
"Centro anziani Piana Del Sole",41.8249931335449,12.3042097091675,"Viale di Pescina Gagliarda",Roma,
"Casali Tor Fiscale",41.8625106811523,12.5427389144897,"Via Dell'Acquedotto Felice, 120",Roma,
"Casali Tor Fiscale",41.8625717163086,12.5428524017334,"Via Dell'Acquedotto Felice, 120",Roma,
"Conservatorio Santa Cecilia",41.9074478149414,12.4786024093628,"Via dei Greci, 18",Roma,
"Sala da The Babington",41.9067268371582,12.4819107055664,"Piazza di Spagna, 23",Roma,
"Conservatorio Santa Cecilia",41.9074630737305,12.4785223007202,"Via dei Greci, 18",Roma,
"San Marco Evangelista",41.820915222168,12.4833040237427,"Piazza Dei Giuliani e Dalmati, 20",Roma,Pubblici
"Roma - San Filippo Neri",41.9469985961914,12.4151372909546,"Via Martinotti, 20",Roma,
"Roma - Bar SI.LO",41.9183731079102,12.5545034408569,"Via di Pietralata, 475",Roma,
"Roma - San Filippo Neri",41.9471397399902,12.4150085449219,"Via Martinotti, 20",Roma,
"San Filippo Neri",41.9470100402832,12.4152021408081,"Via Martinotti, 20",Roma,Pubblici
"San Filippo Neri",41.9469184875488,12.4153804779053,"Via Martinotti, 20",Roma,
"Roma - San Filippo Neri",41.9469299316406,12.4152088165283,"Via Martinotti, 20",Roma,
"Roma - San Filippo Neri",41.9468650817871,12.4152565002441,"Via Martinotti, 20",Roma,
"Roma - Palazzo di Giustizia - Biblioteca Centrale Giuridica 2",41.9060039,12.4703603,"Piazza Cavour, 1",Roma,
"Roma - Palazzo di Giustizia - Biblioteca Centrale Giuridica",41.9054565429688,12.468505859375,"Piazza Cavour, 1",Roma,
"Roma - Comitato di Quartiere - Montemigliore",41.724925994873,12.5055179595947,"Via Alessandro Vivenza",Roma,
"Scuola Pistelli - Vaccari",41.9185333251953,12.4651107788086,"Via Monte Zebio, 33",Roma,
"Uffici Municipio IV",41.9520683288574,12.5502557754517,"Via Umberto Fracchia, 45",Roma,
"La fabbrica del caffè",41.9102172851562,12.5704660415649,"Viale Sacco E Vanzetti 167",Roma,Privati
"Centro per l'impiego",42.1017990112305,12.1761417388916,"Via di Valle Foresta, 6",Bracciano,Pubblici
Municipio,41.9570083618164,13.0209798812866,"Via del municipio 31","Rocca Canterano",Pubblici
"Biblioteca Comunale",41.6037330627441,13.0872373580933,"Via Giacomo Matteotti, 58","Carpineto Romano",Pubblici
"Scuola Materna Comunale",41.676830291748,12.7007970809937,"Piazza Carlo Fontana",Lanuvio,Pubblici
"Centro Anziani",41.608601290871,13.0821905136108,"Via Giacomo Matteotti, snc","Carpineto Romano",Pubblici
Comune,41.4574401070665,12.659685858197,"Via Giacomo Matteotti, 37",Nettuno,Pubblici
"Piazza Bainsizza - ASL17",41.919261932373,12.4610586166382,"Via Monte Santo, 71 ",Roma,Pubblici
"Scuola Franco Martelli ",41.9244041442871,12.6696434020996,"via Giuseppe Medail 31",Roma,Pubblici
"Circolo Ippico Acquasanta Vallericcia",41.8484675255612,12.5468281063988,"Via Vallericcia",Roma,Privati
"Porta Futuro",41.8771591186523,12.4739542007446,"Via Galvani, 108",Roma,Pubblici
"Porta Futuro",41.8771209716797,12.4741325378418,"Via Galvani, 108",Roma,Pubblici
